filename,width,height,class,xmin,ymin,xmax,ymax
frame_007877.PNG,1280,720,Red deer,270.6,340.88,447.46,484.71
frame_007863.PNG,1280,720,Elk,381.2,325.1,471.9,459.8
frame_000842.PNG,1280,720,Wild boar,399.59,380.24,493.37,487.54
frame_002933.PNG,1280,720,Roe deer,1.03,305.11,52.47,458.75
frame_007693.PNG,1280,720,Elk,382.09,300.13,527.32,435.81
frame_007687.PNG,1280,720,Elk,384.88,300.13,528.92,435.81
frame_002927.PNG,1280,720,Roe deer,1.03,305.11,68.48,458.75
frame_002099.PNG,1280,720,Roe deer,350.99,334.97,484.48,434.67
frame_000856.PNG,1280,720,Wild boar,399.59,380.24,493.37,487.54
frame_000665.PNG,1280,720,Wild boar,391.12,386.16,541.49,484.13
frame_000665.PNG,1280,720,Wild boar,308.37,406.41,395.31,473.18
frame_002072.PNG,1280,720,Roe deer,352.77,340.71,486.26,440.41
frame_002714.PNG,1280,720,Roe deer,239.47,333.05,329.58,438.8
frame_002714.PNG,1280,720,Roe deer,50.91,348.35,201.27,482.03
frame_002714.PNG,1280,720,Roe deer,0.0,318.09,172.04,470.73
frame_000103.PNG,1280,720,Wild boar,686.37,377.02,751.4,451.37
frame_001209.PNG,1280,720,Wild boar,413.11,381.93,563.12,483.32
frame_001209.PNG,1280,720,Wild boar,360.73,397.14,418.22,481.63
frame_001209.PNG,1280,720,Wild boar,503.09,408.97,653.48,490.08
frame_000117.PNG,1280,720,Wild boar,691.27,366.97,769.56,458.04
frame_007678.PNG,1280,720,Elk,389.06,300.13,531.31,435.81
frame_002700.PNG,1280,720,Roe deer,239.47,333.05,346.22,438.8
frame_002700.PNG,1280,720,Roe deer,44.92,347.02,190.58000000000004,484.69
frame_002700.PNG,1280,720,Roe deer,3.92,317.09,88.82,469.73
frame_002066.PNG,1280,720,Roe deer,349.7,340.98,483.19,440.68
frame_000671.PNG,1280,720,Wild boar,391.12,386.16,541.49,484.13
frame_000671.PNG,1280,720,Wild boar,308.37,406.41,395.31,473.18
frame_003350.PNG,1280,720,Roe deer,202.6,324.2,277.6,472.8
frame_003350.PNG,1280,720,Roe deer,115.76,317.0,274.4,460.75
frame_007136.PNG,1280,720,Elk,271.3,321.0,400.06,485.7
frame_000659.PNG,1280,720,Wild boar,391.12,386.16,541.49,484.13
frame_000659.PNG,1280,720,Wild boar,308.37,406.41,395.31,473.18
frame_000881.PNG,1280,720,Wild boar,399.59,380.24,493.37,487.54
frame_001221.PNG,1280,720,Wild boar,413.11,381.93,562.13,483.32
frame_001221.PNG,1280,720,Wild boar,360.73,397.14,418.22,481.63
frame_007888.PNG,1280,720,Red deer,287.5,340.88,447.46,484.71
frame_007650.PNG,1280,720,Elk,402.09,300.13,538.77,435.81
frame_002728.PNG,1280,720,Roe deer,240.5,336.59,329.2,438.8
frame_002728.PNG,1280,720,Roe deer,53.9,349.01,204.6,480.7
frame_002728.PNG,1280,720,Roe deer,29.09,347.0,230.3,474.49
frame_001235.PNG,1280,720,Wild boar,413.11,381.93,551.8,483.32
frame_001235.PNG,1280,720,Wild boar,360.73,397.14,418.22,481.63
frame_007644.PNG,1280,720,Elk,274.29,282.1,377.3,483.7
frame_007644.PNG,1280,720,Red deer,70.8,321.66,295.3,488.68
frame_007122.PNG,1280,720,Elk,271.3,321.0,398.61,485.7
frame_000895.PNG,1280,720,Wild boar,399.59,380.24,493.37,487.54
frame_003344.PNG,1280,720,Roe deer,203.2,324.2,277.6,472.8
frame_003344.PNG,1280,720,Roe deer,115.76,317.0,274.4,460.75
frame_007491.PNG,1280,720,Elk,274.29,322.79,377.3,483.7
frame_007491.PNG,1280,720,Red deer,86.8,326.07,296.35,488.68
frame_006957.PNG,1280,720,Elk,271.3,336.0,398.2,467.6
frame_004826.PNG,1280,720,Roe deer,317.29,331.1,490.9,473.7
frame_003191.PNG,1280,720,Roe deer,206.5,335.64,288.41,472.8
frame_003191.PNG,1280,720,Roe deer,115.76,345.02,265.05,460.75
frame_000498.PNG,1280,720,Wild boar,391.12,386.16,541.49,484.13
frame_000498.PNG,1280,720,Wild boar,308.37,406.41,395.31,473.18
frame_004832.PNG,1280,720,Roe deer,317.29,334.1,506.9,473.7
frame_003185.PNG,1280,720,Roe deer,206.5,337.66,286.79,472.8
frame_003185.PNG,1280,720,Roe deer,115.76,345.02,262.56,460.75
frame_007485.PNG,1280,720,Elk,274.29,324.39,377.3,483.7
frame_007485.PNG,1280,720,Red deer,86.8,326.07,295.58,488.68
frame_006943.PNG,1280,720,Elk,271.3,336.0,398.2,468.56
frame_000301.PNG,1280,720,Wild boar,420.83,383.62,544.02,481.6
frame_000301.PNG,1280,720,Wild boar,333.12,408.1,402.9,474.87
frame_006770.PNG,1280,720,Roe deer,342.15,337.99,435.63,436.76
frame_006770.PNG,1280,720,Elk,267.3,357.99,363.14,472.94
frame_004601.PNG,1280,720,Roe deer,98.8,288.2,267.96,482.7
